t_rel_s,cpu_pct,mem_pct,drop_rules
4.68,0.6,0.9,1
5.20,53.0,0.9,1
5.71,0.0,0.9,1
6.22,0.0,0.9,1
6.73,0.0,0.9,1
7.24,0.0,0.9,1
7.75,0.0,0.9,1
8.26,0.0,0.9,1
8.77,0.0,0.9,1
9.28,0.0,0.9,1
9.80,0.0,0.9,1
10.31,0.0,0.9,1
10.82,0.0,0.9,1
11.33,0.0,0.9,1
11.85,0.0,0.9,1
12.36,0.0,0.9,1
12.87,0.0,0.9,1
13.39,0.0,0.9,1
13.90,0.0,0.9,1
14.42,0.0,0.9,1
14.93,0.0,0.9,1
15.44,0.0,0.9,1
15.95,0.0,0.9,1
16.46,0.0,0.9,1
16.98,0.0,0.9,1
17.49,0.0,0.9,1
18.01,0.0,0.9,1
18.52,0.0,0.9,1
19.04,0.0,0.9,1
19.55,0.0,0.9,1
20.06,0.0,0.9,0
20.58,0.0,0.9,0
21.09,0.0,0.9,0
21.61,0.0,0.9,0
22.12,0.0,0.9,0
22.63,0.0,0.9,0
23.15,0.0,0.9,0
23.66,0.0,0.9,0
24.17,0.0,0.9,0
24.68,0.0,0.9,0
25.20,0.0,0.9,0
25.71,0.0,0.9,0
26.23,0.0,0.9,0
26.74,0.0,0.9,0
27.26,0.0,0.9,0
27.77,0.0,0.9,0
28.29,0.0,0.9,0
28.80,0.0,0.9,0
29.32,0.0,0.9,0
29.84,0.0,0.9,0
